Full,Name,Nvel,Type,Dist_Mpc,f_,i_deg,L3.6_GLsun,Reff_kpc,SBeff_Lsun/pc2,Rdisk_kpc,SBdisk_Lsun/pc2,MHI_GMsun,RHI_kpc,Vflat_km/s,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA_deg,_DE_deg
87,NGC6015,44,6,17.0,1,60.0,32.129,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,2,1,1,1,0,RC,NGC6015,NGC6015,237.85513,62.31003
88,NGC6195,23,3,127.8,1,62.0,391.076,9.52,686.8,13.94,174.11,20.907,40.89,251.7,1,1,1,0,0,RC,NGC6195,NGC6195,249.13555,39.028
89,NGC6503,31,6,6.26,2,74.0,12.845,1.62,774.16,2.16,398.87,1.744,14.05,116.3,1,1,1,1,0,RC,NGC6503,NGC6503,267.36047,70.14434
90,NGC6674,15,3,51.2,1,54.0,214.654,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,1,1,1,0,0,RC,NGC6674,NGC6674,279.6412,25.37511
91,NGC6789,4,11,3.52,2,43.0,0.1,0.52,59.27,0.31,319.76,0.017,0.97,0.0,2,0,1,0,0,RC,NGC6789,NGC6789,289.17154,63.97331
92,NGC6946,58,6,5.52,2,38.0,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,1,1,1,0,0,RC,NGC6946,NGC6946,308.71805,60.15368
93,NGC7331,36,3,14.7,3,75.0,250.631,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,1,1,1,0,0,RC,NGC7331,NGC7331,339.26709,34.41592
94,NGC7793,46,7,3.61,2,47.0,7.05,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,1,0,1,1,1,RC,NGC7793,NGC7793,359.45761,-32.59103
96,PGC51017,6,11,13.6,2,66.0,0.155,1.28,15.03,0.53,93.94,0.201,4.29,18.6,3,0,0,0,0,RC,PGC51017,PGC51017,214.25733,43.50372
97,UGC00128,22,8,64.5,1,57.0,12.02,9.63,20.36,5.95,88.89,7.431,31.27,129.3,1,1,1,0,0,RC,UGC00128,UGC00128,3.46221,35.9935
98,UGC00191,9,9,17.1,1,45.0,2.004,2.5,50.21,1.58,207.41,1.343,10.03,0.0,1,1,1,1,0,RC,UGC00191,UGC00191,5.0215,10.87931
99,UGC00634,4,9,30.9,1,37.0,2.989,4.26,26.11,2.45,126.13,3.663,16.78,0.0,2,1,1,1,0,RC,UGC00634,UGC00634,15.35488,7.62599
